join znc rezwan@unaffiliated/rezwan Rezwan #ubuntu-bd
join znc nhandler@freenode/staff/ubuntu.member.nhandler nhandler #ubuntu-community-team
join znc nhandler@freenode/staff/ubuntu.member.nhandler nhandler #ubuntu-locoteams
join znc mikaela@unaffiliated/mikaela Mikaela #ubuntu-women
join znc mikaela@unaffiliated/mikaela Mikaela #ubuntu-women-project
join znc luna@vps154124.loopiavps.com bittin #ubuntu-women
join znc luna@vps154124.loopiavps.com bittin #ubuntu-women-project
join znc knitzsche@c-71-233-62-230.hsd1.ma.comcast.net kyleN_ #ubuntu-community-team
join znc DanChapma@40.115.40.152 DanChapman #ubuntu-community-team
join znc HL@unaffiliated/hereticlocke JasonO #linuxpadawan
join znc tom@freenode/staff/tomaw tomaw #ubuntu-women
join znc cyberange@swissknife/adak/infocop411 cyberanger #ubuntu-us-oh
join znc MeWayne@linuxpadawan/master/silverlion silverlion #linuxpadawan-offtopic
join znc MeWayne@linuxpadawan/master/silverlion silverlion #linuxpadawan
join znc jacobirc@unaffiliated/jacob jacob #ubuntu-us-oh
join znc alan@ubuntu/member/popey popey #ubuntu-community-team
join znc alan@ubuntu/member/popey popey #ubuntu-locoteams
join znc alan@ubuntu/member/popey popey #ubuntu-women
join znc alan@ubuntu/member/popey popey #ubuntu-rmb
join znc PabloRubia@ubuntu/member/PabloRubianes PabloRubianes #ubuntu-community-team
join znc PabloRubia@ubuntu/member/PabloRubianes PabloRubianes #ubuntu-locoteams
join znc PabloRubia@ubuntu/member/PabloRubianes PabloRubianes #ubuntu-rmb
join znc ubot5@ubuntu/bot/ubot5 ubot5` #ubuntu-locoteams
join znc ubot5@ubuntu/bot/ubot5 ubot5` #ubuntu-women-project
join znc glebihan@unaffiliated/glebihan glebihan #ubuntu-community-team
join znc glebihan@unaffiliated/glebihan glebihan_ #ubuntu-community-team
join znc dzho@unaffiliated/dzho dzho #ubuntu-us-oh
join znc miles@ubuntu/member/kilos Kilos #ubuntu-community-team
join znc miles@ubuntu/member/kilos Kilos #ubuntu-locoteams
join znc miles@ubuntu/member/kilos Kilos #ubuntu-rmb
join znc miles@ubuntu/member/kilos Kilos #ubuntu-bd
join znc miles@ubuntu/member/kilos Kilos #belkinsa2
join znc defaultti@lakka.kapsi.fi Defaultti #ubuntu-women
join znc jenni@jenni/cell-8675309 jenni #ubuntu-us-oh
join znc anosh@unaffiliated/anosh anosh #ubuntu-women
join znc Daniel@ubuntu/member/dholbach dholbach #ubuntu-community-team
join znc Daniel@ubuntu/member/dholbach dholbach #ubuntu-locoteams
join znc Daniel@ubuntu/member/dholbach dholbach #ubuntu-communitycouncil
join znc darkcircl@121.136.217.36 DarkCircle #ubuntu-locoteams
join znc Xenthys@AntiSpamMeta/SuchMeta/botters.Xenthys Xenthys #linuxpadawan
join znc aaron@2600:3c02::f03c:91ff:fe98:7ed2 ahoneybun #ubuntu-rmb
join znc jeffrey@134.48.21.58 jrolland-work #ubuntu-locoteams
join znc fenris@ubuntu/member/fenris- ejat #ubuntu-community-team
join znc fenris@ubuntu/member/fenris- ejat #ubuntu-rmb
join znc scarlettcl@ubuntu/member/sgclark sgclark #ubuntu-communitycouncil
join znc shawnwang@3.34.213.162.lcy-01.canonistack.canonical.com shawnwang #ubuntu-locoteams
join znc balloons1@ubuntu/member/balloons balloons #ubuntu-community-team
join znc belkinsa@ubuntu/member/belkinsa belkinsa #ubuntu-community-team
join znc belkinsa@ubuntu/member/belkinsa belkinsa #ubuntu-locoteams
join znc belkinsa@ubuntu/member/belkinsa belkinsa #ubuntu-women
join znc belkinsa@ubuntu/member/belkinsa belkinsa #linuxpadawan-internal
join znc belkinsa@ubuntu/member/belkinsa belkinsa #ubuntu-women-project
join znc belkinsa@ubuntu/member/belkinsa belkinsa #ubuntu-us-oh
join znc belkinsa@ubuntu/member/belkinsa belkinsa #ubuntu-communitycouncil
join znc belkinsa@ubuntu/member/belkinsa belkinsa #ubuntu-rmb
join znc belkinsa@ubuntu/member/belkinsa belkinsa #linuxpadawan-offtopic
join znc belkinsa@ubuntu/member/belkinsa belkinsa ##tsimonq2
join znc belkinsa@ubuntu/member/belkinsa belkinsa #linuxpadawan
join znc belkinsa@ubuntu/member/belkinsa belkinsa #ubuntu-bd
join znc belkinsa@ubuntu/member/belkinsa belkinsa #belkinsa2
join znc quassel@unaffiliated/rrittenhouse rrittenhouse #ubuntu-us-oh
join znc elacheche@ubuntu/member/elacheche-anis elacheche #ubuntu-locoteams
join znc elacheche@ubuntu/member/elacheche-anis elacheche #ubuntu-rmb
join znc uid116191@gateway/web/irccloud.com/x-nbpbdtmyzlextcbq JasonJang #ubuntu-locoteams
join znc scoggin@unaffiliated/scoggin Scoggin #linuxpadawan
join znc quassel@ubuntu/member/genii genii #ubuntu-locoteams
join znc brainstyl@linuxpadawan/padawan/brainstyle BrainStyle #linuxpadawan-offtopic
join znc brainstyl@linuxpadawan/padawan/brainstyle BrainStyle #linuxpadawan
join znc 20258@ninthfloor.org J21 #ubuntu-us-oh
join znc garethFre@znc.wiked.org Gareth #ubuntu-women
join znc paulprote@109.166.211.130.bc.googleusercontent.com asheesh #ubuntu-women
join znc YoBoY@tomar.yoboy.fr YoBoY #ubuntu-locoteams
join znc nigel@ubuntu/member/nigelb nigelb #ubuntu-community-team
join znc nigel@ubuntu/member/nigelb nigelb #ubuntu-women
join znc cypher@skynet.skynet.ie czajkowski #ubuntu-community-team
join znc cypher@skynet.skynet.ie czajkowski #ubuntu-locoteams
join znc cypher@skynet.skynet.ie czajkowski #ubuntu-communitycouncil
join znc asm@ubuntu/bot/ubot93 ubot9 #ubuntu-community-team
join znc asm@ubuntu/bot/ubot93 ubot9 #ubuntu-locoteams
join znc asm@ubuntu/bot/ubot93 ubot9 #ubuntu-women
join znc adran@botters/staff/adran Adran #linuxpadawan
join znc sonic@phillw.net Meetingbot #linuxpadawan
join znc flannel@ubuntu/member/flannel Flannel #ubuntu-locoteams
join znc tramm@bongo.p6drad-teel.net tramm #ubuntu-locoteams
join znc svij@ubuntuusers/ikhayateam/svij svij #ubuntu-community-team
join znc svij@ubuntuusers/ikhayateam/svij svij #ubuntu-locoteams
join znc kloeri@freenode/staff/exherbo.kloeri kloeri #ubuntu-community-team
join znc kloeri@freenode/staff/exherbo.kloeri kloeri #ubuntu-women
join znc KC1EZU@unaffiliated/andrewmc AndrewMC #linuxpadawan
join znc logbot@ubuntu/bot/ubuntulog ubuntulog #ubuntu-community-team
join znc logbot@ubuntu/bot/ubuntulog ubuntulog #ubuntu-locoteams
join znc logbot@ubuntu/bot/ubuntulog ubuntulog #ubuntu-women-project
join znc logbot@ubuntu/bot/ubuntulog ubuntulog #ubuntu-us-oh
join znc logbot@ubuntu/bot/ubuntulog ubuntulog #ubuntu-bd
